utility_type,mix_param,dc_gr_sum,goods_num,scale_param,sb_gr_sum,max,min,familiar_share_gr_sum
random-cav,0.0,0.7865377149629768,13,1,0.7347065472966358,1.0,0.5340906467884775,0.7225665956295415
cav-vex,0.0,0.8037789300611674,13,1,0.8141835100904654,1.0,0.5862411695590246,0.7931205847795123
random-cav,0.8,0.881084330854674,13,1,0.8128306781127967,1.0,0.7616006503924723,0.7639399139915118
cav-vex,0.8,0.9727685959314551,13,1,0.9801787370205151,1.0,0.951548023827926,0.9544707125805311
random-cav,0.0,0.716825267833317,13,5,0.6390214677409196,1.0,0.2313801355086,0.6019298044773976
cav-vex,0.0,0.5305433496144212,13,5,0.5944486687964752,1.0,0.23792804046408658,0.6189640202320432
random-cav,0.8,0.6983183383912013,13,5,0.6238852860835586,1.0,0.20884751625096787,0.6044237581254839
cav-vex,0.8,0.5273919587587375,13,5,0.58755535824373,1.0,0.20884751625096787,0.6044237581254839
random-cav,0.0,0.9121647729796082,14,1,0.8808662822235999,1.0,0.8193364495385485,0.8653847952894674
cav-vex,0.0,0.9592006126141651,14,1,0.9421452862810071,1.0,0.8913511766234734,0.9414468939441943
random-cav,0.8,0.8365178427397054,14,1,0.7102011817217599,1.0,0.6345208851945231,0.6807491810000598
cav-vex,0.8,0.9480514789401787,14,1,0.9486473918845366,1.0,0.8666503469828197,0.9297905359586494
random-cav,0.0,0.6646824472573855,14,5,0.5985131872350382,1.0,0.1467639682179495,0.5733819841089747
cav-vex,0.0,0.4923414766004321,14,5,0.5506574754047033,1.0,0.14676396821794946,0.5733819841089747
random-cav,0.8,0.7074530983864349,14,5,0.6259349714547512,1.0,0.19497607901965752,0.5974880395098288
cav-vex,0.8,0.5111548400766188,14,5,0.5790838017003124,1.0,0.19497607901965752,0.5974880395098288
random-cav,0.0,0.8762515108314555,15,1,0.7811441467109359,1.0,0.7275152152902745,0.7527343550793052
cav-vex,0.0,0.9554849122794313,15,1,0.950816923537847,1.0,0.9087746418166653,0.9675827154767149
random-cav,0.8,0.866351165382819,15,1,0.7938933980032392,1.0,0.7725354281275341,0.774779008269627
cav-vex,0.8,0.9816241541687595,15,1,0.9751845954461411,1.0,0.961521474605729,0.9646034303350879
random-cav,0.0,0.690209497660849,15,5,0.6184732810125985,1.0,0.19395864428446352,0.5969793221422317
cav-vex,0.0,0.5192410032128316,15,5,0.5795840021997959,1.0,0.19395864428446352,0.5969793221422317
random-cav,0.8,0.6824645967426447,15,5,0.604731142276729,1.0,0.18542182175116256,0.5902812556825032
cav-vex,0.8,0.5185589982568839,15,5,0.5843890165156501,1.0,0.18632724366151077,0.5931636218307554
random-cav,0.0,0.9066523707167463,16,1,0.824733424305638,1.0,0.7635634819799656,0.7975614618901359
cav-vex,0.0,0.9244133897730002,16,1,0.9391655137320136,1.0,0.8652078081779218,0.9591153942806959
random-cav,0.8,0.8948479985691689,16,1,0.8148890674122559,1.0,0.7928196806095521,0.801009926114932
